;; THIS IS A TEXT FILE
;; commodity ca us intl fixed other
;; CAUTION: you can edit directly here, but it's better to use the GUI
;; amounts are percentage, expressed as decimal fractions or 1 for 100
TARGET, 0.50, 0.25, 0.20, 0.05, 0
BMO, 1, 0, 0, 0, 0
HXS, 0, 1, 0, 0, 0
VEQT, 0.30, 0.43, 0.27, 0, 0
MKB, 0, 0, 0, 1, 0
XIU, 1, 0, 0, 0, 0
ZDM, 0, 0, 1, 0, 0
BCE, 1, 0, 0, 0, 0
XMI, 0, 0, 1, 0, 0
ZDM, 0, 0, 1, 0, 0
ZLB, 0.97, 0.03, 0, 0, 0
